step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
968,0.007496960461139679,0.9973404255319149,,,,,,,,2026-09-21T00:54:22.6570000Z
969,0.0005802998202852905,1,,,,,,,,2026-09-21T00:54:23.8370000Z
970,0.8014244437217712,0.8051948051948052,,,,,,,,2026-09-21T00:54:25.0240000Z
971,0.1449112743139267,0.9624724061810155,,,,,,,,2026-09-21T00:54:26.3700000Z
972,0.00016303316806443036,1,,,,,,,,2026-09-21T00:54:34.2980000Z
973,0.01357305608689785,0.9976798143851509,,,,,,,,2026-09-21T00:54:35.4840000Z
974,0.21875587105751038,0.9388646288209607,,,,,,,,2026-09-21T00:54:36.6680000Z
975,0.8455578088760376,0.8227969348659003,,,,,,,,2026-09-21T00:54:38.1420000Z
976,0.023813657462596893,0.9922480620155039,,,,,,,,2026-09-21T00:54:39.3220000Z
977,0.09765179455280304,0.9833024118738405,,,,,,,,2026-09-21T00:54:40.5030000Z
978,0.8739050626754761,0.8142340168878166,,,,,,,,2026-09-21T00:54:41.6910000Z
979,0.8599270582199097,0.8065630397236615,,,,,,,,2026-09-21T00:54:43.2040000Z
980,0.1662198007106781,0.9596412556053812,,,,,,,,2026-09-21T00:54:44.3900000Z
981,0.0657760351896286,0.9783653846153846,,,,,,,,2026-09-21T00:54:45.5890000Z
982,0.10835663974285126,0.9675550405561993,,,,,,,,2026-09-21T00:54:46.7750000Z
983,0.0003468228969722986,1,,,,,,,,2026-09-21T00:54:48.5530000Z
984,0.05491381511092186,0.9796511627906976,,,,,,,,2026-09-21T00:54:49.4330000Z
985,0.22864507138729095,0.9425587467362925,,,,,,,,2026-09-21T00:54:50.6230000Z
986,0.0008854011539369822,1,,,,,,,,2026-09-21T00:54:51.8470000Z
987,0.0004300893342588097,1,,,,,,,,2026-09-21T00:54:53.6350000Z
988,0.0647672638297081,0.9843342036553525,,,,,,,,2026-09-21T00:54:54.5610000Z
989,0.49535611271858215,0.8587360594795539,,,,,,,,2026-09-21T00:54:55.7670000Z
990,0.5992093682289124,0.8378378378378378,,,,,,,,2026-09-21T00:54:56.9770000Z
991,0.4447261691093445,0.8805620608899297,,,,,,,,2026-09-21T00:54:58.1530000Z
992,0.6422104239463806,0.8571428571428571,,,,,,,,2026-09-21T00:54:59.6270000Z
993,0.6762644052505493,0.8561438561438561,,,,,,,,2026-09-21T00:55:00.8060000Z
994,0.6980766654014587,0.8310598111227702,,,,,,,,2026-09-21T00:55:01.9830000Z
995,0.8844658732414246,0.7815384615384615,,,,,,,,2026-09-21T00:55:03.1670000Z
996,0.03425707295536995,0.9905149051490515,,,,,,,,2026-09-21T00:55:04.6400000Z
997,0.03463800251483917,0.9875259875259875,,,,,,,,2026-09-21T00:55:05.8120000Z
998,0.020222090184688568,0.991701244813278,,,,,,,,2026-09-21T00:55:07.0340000Z
999,0.30269259214401245,0.9119010819165378,,,,,,,,2026-09-21T00:55:08.2170000Z
1000,0.37708351016044617,0.8972712680577849,,0.5412833015030943,0.8548009367681498,,,,,2026-09-21T00:55:12.8480000Z
1001,0.00013000753824599087,1,,,,,,,,2026-09-21T00:55:15.0850000Z
1002,0.04996788501739502,0.981941309255079,,,,,,,,2026-09-21T00:55:16.2610000Z
1003,0.08322201669216156,0.9791666666666666,,,,,,,,2026-09-21T00:55:17.4490000Z
1004,0.2891462743282318,0.9237918215613383,,,,,,,,2026-09-21T00:55:18.6380000Z
1005,0.2691861391067505,0.9326424870466321,,,,,,,,2026-09-21T00:55:20.1180000Z
1006,0.14873242378234863,0.9641693811074918,,,,,,,,2026-09-21T00:55:21.3010000Z
1007,0.17308993637561798,0.9668874172185431,,,,,,,,2026-09-21T00:55:22.4820000Z
1008,0.6961572766304016,0.826890756302521,,,,,,,,2026-09-21T00:55:23.7090000Z
1009,0.07571740448474884,0.9769736842105263,,,,,,,,2026-09-21T00:55:25.2210000Z
1010,0.2494172751903534,0.9330143540669856,,,,,,,,2026-09-21T00:55:26.4170000Z
1011,0.436321496963501,0.8936170212765957,,,,,,,,2026-09-21T00:55:27.6370000Z
1012,0.13704223930835724,0.9543147208121827,,,,,,,,2026-09-21T00:55:28.8160000Z
1013,0.04746539518237114,0.9851190476190477,,,,,,,,2026-09-21T00:55:30.0260000Z
1014,0.32080522179603577,0.9274310595065312,,,,,,,,2026-09-21T00:55:31.2090000Z
1015,0.18624503910541534,0.9565217391304348,,,,,,,,2026-09-21T00:55:32.7190000Z
1016,0.588604211807251,0.8734177215189873,,,,,,,,2026-09-21T00:55:33.9340000Z
1017,0.2854606807231903,0.9285714285714286,,,,,,,,2026-09-21T00:55:35.1110000Z
1018,0.027964377775788307,0.9953271028037384,,,,,,,,2026-09-21T00:55:36.3320000Z
1019,0.6087794899940491,0.8712273641851107,,,,,,,,2026-09-21T00:55:37.5270000Z
1020,0.32138895988464355,0.9118942731277533,,,,,,,,2026-09-21T00:55:38.7410000Z
1021,0.0062189605087041855,0.9979757085020243,,,,,,,,2026-09-21T00:55:40.2230000Z
1022,0.04486152529716492,0.9813664596273292,,,,,,,,2026-09-21T00:55:41.4700000Z
1023,0.0003053685068152845,1,,,,,,,,2026-09-21T00:55:42.6560000Z
1024,0.73468017578125,0.8151260504201681,,,,,,,,2026-09-21T00:55:43.8640000Z
1025,0.8053881525993347,0.8053892215568862,,,,,,,,2026-09-21T00:55:45.0450000Z
1026,0.0004093620227649808,1,,,,,,,,2026-09-21T00:55:46.5610000Z
1027,0.06204202026128769,0.9770723104056437,,,,,,,,2026-09-21T00:55:48.0560000Z
1028,0.36051806807518005,0.8882488479262672,,,,,,,,2026-09-21T00:55:48.9780000Z
1029,0.17933979630470276,0.9596330275229358,,,,,,,,2026-09-21T00:55:50.1540000Z
1030,0.002230277983471751,1,,,,,,,,2026-09-21T00:55:51.3350000Z
1031,0.3882959187030792,0.8801261829652997,,,,,,,,2026-09-21T00:55:53.1230000Z
1032,0.05255505442619324,0.9818913480885312,,,,,,,,2026-09-21T00:55:54.0150000Z
1033,0.6296585202217102,0.8211678832116789,,,,,,,,2026-09-21T00:55:55.2070000Z
1034,0.7314772605895996,0.8364565587734242,,,,,,,,2026-09-21T00:55:56.3840000Z
1035,0.020020922645926476,0.9973262032085561,,,,,,,,2026-09-21T00:55:57.8810000Z
1036,0.587965726852417,0.8264462809917356,,,,,,,,2026-09-21T00:55:59.0650000Z
1037,0.5325330495834351,0.8666666666666667,,,,,,,,2026-09-21T00:56:00.2580000Z
1038,0.9393599629402161,0.7639138240574507,,,,,,,,2026-09-21T00:56:01.7400000Z
1039,0.528523862361908,0.8518518518518519,,,,,,,,2026-09-21T00:56:02.9560000Z
1040,0.1981654316186905,0.9340463458110517,,,,,,,,2026-09-21T00:56:04.1280000Z
1041,0.014382092282176018,0.9947643979057592,,,,,,,,2026-09-21T00:56:05.3180000Z
1042,0.0002953201765194535,1,,,,,,,,2026-09-21T00:56:06.4960000Z
1043,0.000237671411014162,1,,,,,,,,2026-09-21T00:56:07.9770000Z
1044,0.46172088384628296,0.8922018348623854,,,,,,,,2026-09-21T00:56:09.1610000Z
1045,0.5778158903121948,0.8519362186788155,,,,,,,,2026-09-21T00:56:10.3430000Z
1046,0.04668610543012619,0.9871794871794872,,,,,,,,2026-09-21T00:56:11.5200000Z
1047,0.00017117359675467014,1,,,,,,,,2026-09-21T00:56:13.3070000Z
1048,0.00020657555432990193,1,,,,,,,,2026-09-21T00:56:14.2020000Z
1049,0.3174821436405182,0.9143576826196473,,,,,,,,2026-09-21T00:56:15.4090000Z
1050,0.007780066225677729,1,,,,,,,,2026-09-21T00:56:16.6260000Z
1051,0.35911691188812256,0.9135135135135135,,,,,,,,2026-09-21T00:56:17.8670000Z
1052,0.0016960714710876346,1,,,,,,,,2026-09-21T00:56:19.0560000Z
1053,0.5852612257003784,0.8407310704960835,,,,,,,,2026-09-21T00:56:20.5390000Z
1054,0.00020167393086012453,1,,,,,,,,2026-09-21T00:56:21.7140000Z
1055,0.17214415967464447,0.9535714285714286,,,,,,,,2026-09-21T00:56:22.9140000Z
1056,0.00023501554096583277,1,,,,,,,,2026-09-21T00:56:24.0920000Z
1057,0.09893491864204407,0.972972972972973,,,,,,,,2026-09-21T00:56:25.5750000Z
1058,0.04115922003984451,0.9873015873015873,,,,,,,,2026-09-21T00:56:26.7540000Z
